Topic,Count,Name,Representation,Representative_Docs
0,1163,0_mario_needs_needed_need,"['mario', 'needs', 'needed', 'need', 'want', 'getting', 'take', 'get', 'right', 'next']","[""Where's Luigi when u need him 😑"", 'We need luigi for this one', 'Some people just need to get Luigi’d.']"
1,1086,1_deaths_murderer_killer_killed,"['deaths', 'murderer', 'killer', 'killed', 'died', 'shooter', 'death', 'kill', 'hitler', 'violence']","['They literally said that they did not think shooting him was right. You have to talk like this because you have nothing of real value to say. You know that Brian Thompson was a bad man. We all know, for certain, that he got a lot of people killed.', 'Brian Thompson killed way more people', 'Brian Thompson was directly responsible for the deaths of more Americans than any serial killer or terrorist you can think of, because United Healthcare kills more people than 9/11 killed every year.']"
2,1028,2_healthcare_insurance_health_ceos,"['healthcare', 'insurance', 'health', 'ceos', 'medical', 'care', 'greed', 'pay', 'deaths', 'corporate']","[""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice"", ""American health insurance is a fucking scam, millions of people suffer every year because they're denied coverage. Free $luigi."", ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…""]"
3,924,3_hero_right_killer_killed,"['hero', 'right', 'killer', 'killed', 'stand', 'murderer', 'gun', 'lives', 'justice', 'support']","['I support to Luigi, He is a HERO', '$Hero is $Luigi 2.0', 'And this is why Luigi is a hero']"
4,914,4_unitedhealth_healthcare_insurance_ceos,"['unitedhealth', 'healthcare', 'insurance', 'ceos', 'executives', 'insider', 'medical', 'lawsuit', 'investors', 'profits']","['Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
5,776,5_mangiones_mangioni_luigimangione_hero,"['mangiones', 'mangioni', 'luigimangione', 'hero', 'freeluigimangione', 'saint', 'italian', 'man', 'god', 'said']","['In This House Luigi Mangione Is A Hero End Of Story Shirt', 'Mangione is a hero', '“He was an Italian hero is what he was. In this house, Luigi Mangione is a hero, end of story!”']"
6,741,6_insurers_insurance_healthcare_unitedhealth,"['insurers', 'insurance', 'healthcare', 'unitedhealth', 'medicare', 'providers', 'medical', 'doctors', 'coverage', 'patients']","[""Murdered CEO & health insurance boss backed 'AI that denied 90% of coverage.\n\n  via"", 'The privatized, for-profit US healthcare system is a nightmare of exploitation:\n\nUnitedHealthcare, the largest US health insurance company, uses an AI algorithm to override doctors\' judgments and wrongfully deny health coverage to elderly patients\n\n\n""This…', ""That's what health insurance companies do:""]"
7,684,7_luigimangione_healthcare_insurance_italian,"['luigimangione', 'healthcare', 'insurance', 'italian', 'health', 'trial', 'care', 'hero', 'lives', 'ceos']","['He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!', 'He took on the corrupt healthcare system is what he did, and in this house, Luigi Mangione is an Italian American hero, end of story!', 'Luigi Mangione is going on trial for the death of one healthcare CEO.\n\nBut what if we also put healthcare CEOs and insurance companies on trial for the death of millions of people for denying healthcare for so many years?']"
8,607,8_lorenz_unitedhealth_executives_ceos,"['lorenz', 'unitedhealth', 'executives', 'ceos', 'taylor', 'sympathy', 'joy', 'empathy', 'justice', 'profit']","['Ex- reporter Taylor Lorenz says she felt ‘joy’ over assassination of UnitedHealthcare CEO Brian Thompson: ‘Feels like justice’', 'Taylor Lorenz says that she felt ""joy"" when she heard the news that the UnitedHealthCare CEO was assassinated.', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
9,346,9_luigimangione_mario_freeluigimangione_free,"['luigimangione', 'mario', 'freeluigimangione', 'free', 'freeluigi', 'gofundme', 'bail', 'dolla', 'primed', 'santa']","['Free $LUIGI !!!! 🫡', 'Free $luigi', 'free $luigi!']"
