Topic,Count,Name,Representation,Representative_Docs
0,34,0_messiah_killed_poor_much,"['messiah', 'killed', 'poor', 'much', 'percent', 'mushroom', 'lot', 'maybe', 'overlord', 'kingdom']","[""Brian is a tragic hero. His work and company make people live longer but if you're not a systems thinker you won't see it. \n\nBest guess the percent population that is celebrating and Luigi and hating on Brian? \n\nI have to imagine less than 5%? Sort of like direct overlap with the…"", ""He was there helping his fellow Americans. While Luigi on the other hand killed a man in cold blood. I see a lot of differences. To all of you saying that Kyle is a murderer go fuck yourself. Next time a person pulls a gun on you let's see how you act."", 'Luigi is an elitist, spoiled, rich kid who shot a husband & father in the back who grew up poor on a farm in Iowa & worked hard for his position & improved insurance access for customers.\n\nRittenhouse shot people attacking him in an effort to do him bodily harm\n\nLIBERAL MORAL ROT']"
1,26,1_obamacare_insurance_murderer_health,"['obamacare', 'insurance', 'murderer', 'health', 'demise', 'violence', 'death', 'kill', 'sue', 'shooter']","[""so ur saying it was OK for mangione to kill the United health care? It is NOT AN ACT OF VIOLENCE to be denied a claim for insurance. U r the BIGGEST IDIOT WE HV N Washington. It's NOT ok to kill someone over insurance. GROW UP & DEAL W LIFE. WHAT A FREAKING IMBECILE"", ""It's just sad to see so many people celebrating death of a person, just cos they've a personal grouse with the co. he worked for, claims've well defined rules, sue the co. ,DON'T celebrate a murder of a man doing his job, just cos it conflicts with your need #UnitedHealthcare"", 'Chris Murphy…. “I’m never going to condone gun violence”…. Then goes on to basically justify the murder of the UnitedHealthCare CEO. \n\nHe also seems to forget that the insurance industry is heavily regulated in all they do due to the ObamaCare act which he voted for.']"
2,25,2_murderer_killer_sympathizing_lorenz,"['murderer', 'killer', 'sympathizing', 'lorenz', 'deserved', 'sentiment', 'death', 'slayed', 'mindset', 'heartless']","['Taylor Lorenz is deranged. She\'s so quick to acknowledge joyful bliss is the slaying of a man with the hyperbolic justification ""...the tens of thousands of Americans that he murdered!”. \n\nBrian Thompson didn\'t murder anyone. \n\nTaylor Lorenz should be shunned.', 'Anyone, and I mean anyone celebrating the tragic end of Brian Thompson is a hypocrite, a cancer on society, or both. Yes, they need prayer, although they probably also need the kind of corrective discipline their parents likely were too liberated to afford them the benefit of…', ""Lorenz is a heartless ghoul. This coward shot this Brian Thompson in the back for no reason. Ice water runs through his veins. I hope Thompson's family sues Lorenz and demand a retraction for her accusation that Brian killed 10s of thousands of people. She's full of shit. More…""]"
3,24,3_unitedhealthcareinc_healthinsurance_unitedhealthgroupincorporated_healthcare,"['unitedhealthcareinc', 'healthinsurance', 'unitedhealthgroupincorporated', 'healthcare', 'medicare', 'insurance', 'hospitals', 'enrollment', 'enrolled', 'tricare']","['Thinking about health insurance? UnitedHealthcare (#UnitedHealthcareInc, #UnitedHealthGroupIncorporated) offers a wide range of plans. Compare options & find the best fit for your needs! Learn more: [link to website] #UnitedHealthcareInc,Unite', 'UnitedHealthcare (UHC) offers a food benefit that provides a monthly credit to help pay for healthy food and over-the-counter (OTC) products. The credit is loaded onto a UCard, which can be used at participating stores or online.', ""Looking for a Medicare plan that meets your needs and budget? I can help. I'm a licensed sales agent for UnitedHealthcare Medicare Advantage plans based in FL. Call me at 727-688-9125 , TTY 711.\n\nWe only have a fews days left of Open Enrollment. Contact me soon!""]"
4,22,4_healthcare_father_shareholders_newsmax,"['healthcare', 'father', 'shareholders', 'newsmax', 'sympathy', 'family', 'lobbied', 'medical', 'robber', 'husband']","['I’m my thoughts are with the entire family of . They’ve been in choice for health, dental, and vision for my entire adult life. They’ve been very good to me. Today’s deadly attack on Brian Thompson was likely targeted, media reports say. America’s healthcare is broken; people…', 'United Healthcare CEO Brian Thompson was a father, husband, and just 50 years old when he was murdered. He leaves behind his wife and young kids. Anyone celebrating his murder because of his chosen career path, is a truly terrible person.', 'First off, Brian Thompson was not some robber baron, he was a father and husband, he came from nothing, went to a state school, and started at UHC as a manager. It’s tough to go from manager to CEO but from all first hand accounts I’ve heard from people in the industry, he was a…']"
5,22,5_killed_millionaire_sallow_ceos,"['killed', 'millionaire', 'sallow', 'ceos', 'courage', 'deserves', 'giant', 'lives', 'revolutionary', 'care']","[""LUIGI MANGIONE is a dumb loser who murdered #UnitedHealthcare CEO Brian Thompson because he hurt his tard back due to sucking at surfing. He also eats McDonalds, is a weak drug addict and listens to Taylor Swift because he's a tard! #MAGA #FreeLuigi #IstandWithUnitedHealthcare"", 'Ur a pussy, ur glad an innocent unarmed man died simply because you dislike his legal practices, if you cant stand for the freedom of being able to walk on the street without being murdered, u dont stand for anything at all, luigi and all of you are anti society', 'Thompson safeguarded over 8,000,000 members. His company saved the lives of many. The Coward Luigi, who shot another man in his back, will rot having accomplished nothing. His skin will be sallow. He leaves neither care nor riches for his family. He is less than nothing.']"
6,22,6_injustice_envy_critics_guy,"['injustice', 'envy', 'critics', 'guy', 'persecuted', 'hero', 'enemy', 'became', 'hate', 'opinion']","['You’re an unaccomplished nobody filled with hate and envy. Brian Thompson was a far better person than you ever were.', 'Brian Thompson grew up in tiny Jewell, Iowa, worked in soybean fields, played basketball, and became valedictorian of his 50-person class. He rose to lead 140,000 employees and $280B in revenue at a top global company. A life of hard work, the American Dream. God bless him.', 'There’s an underlying envy of Brian Thompson. The hate comes from the fact that he achieved something many working-class people aspire to. His success makes critics feel inadequate, and that angers them. At the end of the day, it’s envy—and envy is corrosive to the mind.']"
7,21,7_unitedhealth_ceos_insurance_healthcare,"['unitedhealth', 'ceos', 'insurance', 'healthcare', 'insured', 'deaths', 'health', 'providers', 'tragic', 'company']","[""The sheer lunacy from CNN guest Neill Franklin claiming UnitedHealthcare CEO Brian Thompson might have orchestrated his own murder for 'insurance purposes' is a new low for media sensationalism. This baseless conspiracy theory not only insults the memory of Thompson but also…"", 'As America shut down in March 2020, and federal officials struggled to get $$ to desperate health providers, Brian Thompson said UnitedHealth could do it asap — and they did.\n\nThe $135 billion fund helped keep countless providers afloat.\n\nThompson’s role has never been reported.', ""I guess little fella didn't learn. He constantly demonizes CEOs. Brian Thompson CEO of United Healthcare was MURDERED yesterday in NYC. Instead of giving it a rest little fella doubles down on disparaging another CEO. Looks like litter fella won't stop until all CEOs are murdered""]"
8,18,8_healthcareforall_insurance_health_billionaire,"['healthcareforall', 'insurance', 'health', 'billionaire', 'hospital', 'malpractice', 'revenues', 'medicine', 'surgeries', 'premiums']","['My mom has cancer and UnitedHealthcare paid about 1.8 million dollars of her hospital bills. The chemo, medicine, surgeries, etc were all paid for. So tell me, did you have a personal experience or are you just going off of what you see on the internet?', 'Crazy what the Loonies have pushed America to\n\nUnited health is \n- $500 B MC\n- $370 B revenues \n- Part of Dow 30\n- more importantly part of my core portfolio\n\n& they shot their CEO Dead today morning', 'Under CEO Brian Thompson, UnitedHealthcare has expanded access to healthcare for millions, focusing on community health, affordability, and innovation. His leadership continues to drive positive change for underserved populations. #HealthcareForAll #CommunityImpact #Leadership']"
9,17,9_murderer_healthcare_genocide_assassinated,"['murderer', 'healthcare', 'genocide', 'assassinated', 'socialism', 'activists', 'fakenews', 'capitalism', 'dehumanization', 'anti']","['DISGUSTING: Fat left activists are posting videos celebrating the killing of United Healthcare CEO Brian Thompson and describing the murderer as a “hero.”\n\nThese same freaks are the ones who say genocide when countries go after terrorists.', 'This smugly smiling murderer is being defended by the Left as they claim the murder of Brian Thompson was the product of capitalism and the lack of socialized Healthcare in the United States. \n\nDisgusting\n\nJared Craig, VP\nVFAF, National Chapter', 'Beneath the horror of the murder of healthcare CEO Brian Thompson lies a virulent anti-capitalism. We look at our healthcare system, and the incredible value of capitalism.\n\nListening to ""Bloody Anti-Capitalism "" at']"
10,16,10_insurance_flo_murderer_policy,"['insurance', 'flo', 'murderer', 'policy', 'guilty', 'jury', 'customer', 'claims', 'else', 'doctors']","['Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\n\nBrian Thompson grew up middle class and made his own way.\n\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', 'Don’t go with that company then😂 almost every ceo has done evil things to better their company. That’s how the world works. You weirdos who are gagging for this murderer are so weird. If Luigi looked like you, no one would give a shit and the story would be forgotten after a day', ""🖕 Luigi and his family, he's a cowardly murderer who murdered an upper class man in cold blood in broad daylight, as for denying claims, I don't care, if your insurance company sucks go somewhere else instead of murdering the upper class""]"
11,12,11_unitedhealth_healthcare_unitedagainstcorruption_support,"['unitedhealth', 'healthcare', 'unitedagainstcorruption', 'support', 'powertothepeople', 'protect', 'announce', 'hugs', 'creed', 'proud']","['Defend #UnitedHealthcare #healthcare #depose #deny #defend', 'Gear up like an assassin, but this time with healthcare on your side. 🗡️💊 Show off your stealthy style with the Assassin’s Creed UnitedHealthcare! Perfect for gamers and healthcare warriors alike. 🖤 Grab yours now! 👉', '💼 UnitedHealthcare Deny Defend Depose – because corporate strategies deserve a bold statement. Wear it loud, wear it proud! 🛒 Grab yours now 👉']"
12,11,12_socialist_healthcare_propagandist_progressives,"['socialist', 'healthcare', 'propagandist', 'progressives', 'murdering', 'martyr', 'violence', 'dogma', 'supporting', 'manifesto']","['A leftist with TDS tells the truth about single-payer. Get back on a plane to the States. And that socialist POS Mangione was not even a UH customer, what a surprise.', ""Over the last few days, I've been watching the Left and Left MSM celebrating Luigi Mangione murdering UnitedHealthcare’s CEO, Brian Thompson. It is disgusting. It's also not a surprise since the Left love celebrating violence.\n\nThere's something more going on with them…"", 'the Left should perhaps dial down the Luigi Mangione worship (HEAR ME OUT!) and just let the Right continue to stake out ""The Most Unpopular Take in America"" ie health insurance is great, no notes\nTim Pool, Matt Walsh, Libs of TikTok can\'t stop knob polishing the system - let em!']"
13,10,13_insurance_healthcare_unitedhealthcareassassin_benefits,"['insurance', 'healthcare', 'unitedhealthcareassassin', 'benefits', 'luigimangione', 'health', 'surgery', 'copay', 'surgeon', 'claim']","['Then STFU and stay there. Your entire feed is about Luigi and American politics, how pathetic. Insurance gave my sister a $200k heart surgery for a $200 copay. Grow the fuck up and stop thinking you can just kill people to solve problems in a country you don’t even live in.', ""hi I am the partner with the messed up back\n- I am not Luigi nor going to pull a Luigi\n- I needed surgery from the ER so didn't get to pick my surgeon\n- my v good tech health insurance denied the claim $60k+ claim originally, but after four months of appeals + reviews, approved"", 'Got a new job and I get benefits imma make this money then use those benefits to have the surgery on my knees that I’ve needed for years 😭 been walking around with a torn LCL, ACL, meniscus, patellar tendon, and broken foot for 2 years I’m so happy rn ily Luigi.']"
14,8,14_lets_gooooooooooo_gooooo_fucking,"['lets', 'gooooooooooo', 'gooooo', 'fucking', 'yes', 'please', 'fraser', '', '', '']","['Lets do this more often', 'LETS FUCKING GOOOOOOOOOOO', 'LETS FUCKING GOOOOO']"
