Topic,Count,Name,Representation,Representative_Docs
0,1141,0_luigimangione_manifesto_healthcare_parasites,"['luigimangione', 'manifesto', 'healthcare', 'parasites', 'unitedhealthcareassassin', 'health', 'unitedhealth', 'death', 'lives', 'insurance']","['Excerpt from Luigi Mangione\'s manifesto:\n\n""I do apologize for any strife of traumas but it had to be done. Frankly, these parasites simply had it coming. A reminder: the US has the #1 most expensive healthcare system in the world, yet we rank roughly #42 in life expectancy... It…', 'Luigi Mangione is going on trial for the death of one healthcare CEO.\n\nBut what if we also put healthcare CEOs and insurance companies on trial for the death of millions of people for denying healthcare for so many years?', 'Luigi Mangione’s Manifesto:\n\n“…I do apologize for any strife or traumas but it had to be done. Frankly, these parasites simply had it coming. A reminder: the US has the #1 most expensive healthcare system in the world, yet we rank roughly #42 in life expectancy. United is the…']"
1,831,1_healthinsurance_obamacare_healthcare_insurer,"['healthinsurance', 'obamacare', 'healthcare', 'insurer', 'insurers', 'insurance', 'unitedhealth', 'medicare', 'medical', 'patients']","['The privatized, for-profit US healthcare system is a nightmare of exploitation:\n\nUnitedHealthcare, the largest US health insurance company, uses an AI algorithm to override doctors\' judgments and wrongfully deny health coverage to elderly patients\n\n\n""This…', 'How the Insurance Industry Denies Coverage to Patients\n\nHealth insurers reject millions of claims for treatment every year.\n\nWhen asked about this, they denied it.\n\n  #MedTwitter #insurance #Anthem #UnitedHealthcare #denial #healthcare #healthplans', ""That's what health insurance companies do:""]"
2,694,2_luigimangione_mangiones_mangioni_freeluigimangione,"['luigimangione', 'mangiones', 'mangioni', 'freeluigimangione', 'hero', 'villain', 'house', 'italian', 'end', 'man']","['IN THIS HOUSE LUIGI MANGIONE IS A HERO❗️ END OF STORY❗️', 'AND IN THIS HOUSE, LUIGI MANGIONE IS A HERO. END OF STORY', 'FREE LUIGI MANGIONE , HE IS A HERO']"
3,653,3_mario_fuck_needs_enough,"['mario', 'fuck', 'needs', 'enough', 'fucking', 'said', 'right', 'shooter', 'get', 'another']","['Where’s a Luigi when you need one', 'Fuck this. Free Luigi!!!', 'Some people just need to get Luigi’d.']"
4,606,4_healthcare_insurance_medicare_ceos,"['healthcare', 'insurance', 'medicare', 'ceos', 'profits', 'greed', 'health', 'executives', 'companies', 'medical']","['Bernie Sanders on the public response to the murder of the UnitedHealthcare CEO: ""What you have seen rising up is people\'s anger at a health insurance industry which denies people the healthcare that they desperately need while they make billions and billions of dollars in…', ""Bernie Sanders to Jacobin: “Killing people is not the way we're going to reform our health care system. . . . We need a political movement [to] take on the greed of the insurance companies and drug companies.”"", 'Bernie Sanders on the UnitedHealthcare CEO murder: ""What you have seen rising up is people\'s anger at a health insurance industry which denies people the healthcare that they desperately need while they make billions and billions of dollars in profit.""']"
5,556,5_murderer_deaths_killer_killed,"['murderer', 'deaths', 'killer', 'killed', 'died', 'shooter', 'kill', 'hitler', 'violence', 'terrorist']","['Brian Thompson killed more people than his killer so….', 'Few people have killed more than Brian Thompson.', 'He murdered a mass murderer. Brian Thompson was responsible for the deaths of thousands.']"
6,492,6_unitedhealth_insider_insurance_healthcare,"['unitedhealth', 'insider', 'insurance', 'healthcare', 'executives', 'investors', 'stock', 'profits', 'fraud', 'executive']","['🚨 United Healthcare CEO Brian Thompson and others were caught with insider trading, sold $117 million of their stock during the federal probe without notifying investors. \n\nThompson was facing a DoJ investigation and lawsuit.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
7,449,7_ceos_corporate_companies_killed,"['ceos', 'corporate', 'companies', 'killed', 'company', 'died', 'kills', 'kill', 'deaths', 'killer']","['The CEO that was killed is directly responsible for the suffering and deaths of many people through denied Healthcare. \n\nLuigi killed in cold blood, but the person who died is for the benefit of many. A death that was needed; but done in a horrible way.', 'Luigi had more CEOs to go :(', 'They say they need more ceos killed by Luigi’s']"
8,439,8_obamacare_healthcare_insurance_health,"['obamacare', 'healthcare', 'insurance', 'health', 'medical', 'care', 'pay', 'coverage', 'government', 'treatment']","[""American health insurance is a fucking scam, millions of people suffer every year because they're denied coverage. Free $luigi."", 'us healthcare can go fuck itself, free luigi', 'How many loved ones have died from health care denied to them health insurance companies?\n\nWhat Luigi did was the inevitable result of a system which denies people life saving care']"
9,425,9_murderer_killed_killer_deaths,"['murderer', 'killed', 'killer', 'deaths', 'kill', 'violence', 'hero', 'justice', 'corrupt', 'guy']","['Brian Thompson killed tens of thousands of people with his policies. Luigi stood up for the working class. Ones a hero and ones a murderer.', ""Not one sane person has stated it was Luigi's right to murder Thompson.\n\nWhat is being said is that Thompson was responsible for a company that ALLOWED tens of thousands of people die.\n\nThat is why Thompson was killed. People are saying they understand why it happened."", 'If you think Penny killed a man because the guy could potentially cause harm to others then Luigi killed a man that actually harms people for a living and also makes money from killing people. So what are you struggling with retard. If you run a mafia you get dropped sometimes🤷🏻\u200d♂️']"
