Topic,Count,Name,Representation,Representative_Docs
0,597,0_mario_luigimangione_bitch_fuck,"['mario', 'luigimangione', 'bitch', 'fuck', 'said', 'fucking', 'anymore', 'next', 'lil', 'ugly']","['Luigi got the wrong one.', 'Fuck Luigi im standing ten toes on this shit and ain’t a damn thing you gonna say to change my mind in the comments stay mad nigga', 'If I see that Luigi guy ONE MORE TIME']"
1,512,1_mangioni_nypd_mayor_manhattan,"['mangioni', 'nypd', 'mayor', 'manhattan', 'nyc', 'murderer', 'city', 'killer', 'suspect', 'york']","['NEW:  tells me why he felt the need to greet Luigi Mangione in Manhattan today. \n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and say you carried out this terroristic act in my city, the city that the people of New York love.”', 'NYC Mayor on Luigi Mangione’s Hollywood spectacle of a perp walk:\n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and stated, ‘you carried out this terroristic act in my city, the city that the people of New York love.’”', 'NYC Mayor Eric Adams on his decision to escort Luigi Mangione in Manhattan:\n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and say you carried out this terroristic act in my city, the city that the people of New York love”']"
2,501,2_murderer_killer_hero_justice,"['murderer', 'killer', 'hero', 'justice', 'killed', 'violence', 'cowardly', 'crime', 'kill', 'coward']","[""Mangione murdered an innocent man in cold blood shot him in the back, he deserves what's coming his way let the Judge do his job."", 'Mangione is NO hero.. he is NO Robin Hood.. he is a cold blooded murder who shot a man in the back.. He is a coward', 'I’m saying this but it shouldn’t have to be said. As someone who has had a family history of unfair treatment from the Healthcare industry I still don’t believe senseless violence of shooting someone in the back is acceptable. Mangione is nothing more than a spoiled rich COWARD!']"
3,498,3_luigimangione_mangioni_mangiones_hero,"['luigimangione', 'mangioni', 'mangiones', 'hero', 'mangina', 'nick', 'idolizing', 'guy', 'killer', 'man']","['What is wrong with you people\n\nCan someone on the left explain why they love Luigi mangione so much? \n\nBoth men and women on the left want to give the guy a hand job. \n\nPlease make it make sense.', 'Luigi Mangione is not a hero.', ""Luigi Mangione is NOT a hero, he's a cold blooded killer and a fucking coward, he shot a man 3 times in the back then ran away like a pussy, he couldn't be man enough to own what he did. When he is found guilty and sent to prison Big Bubba is going to make him his bitch.""]"
4,490,4_healthcare_ceos_killer_murderer,"['healthcare', 'ceos', 'killer', 'murderer', 'obamacare', 'killed', 'insurance', 'warren', 'health', 'assassin']","[""Words found on shell casings where UnitedHealthcare CEO was shot dead, senior law enforcement official says  \n\nI don't care what you think of United HealthCare, but what a stunning and sickening act of violence against Brian Thompson, the CEO of UHC. Even…"", 'The man who m*rdered United Healthcare CEO Brian Thompson inscribed the words “deny,” “defend” & “depose” on the shell casings that were left at the scene.\n\nThe masked ass*ssin is still on the run as details of his whereabouts remain unknown.', 'This nut is celebrating the murder of United Healthcare CEO Brian Thompson. These people are sick!']"
5,476,5_luigimangione_unitedhealth_unitedhealthcareassassin_healthcare,"['luigimangione', 'unitedhealth', 'unitedhealthcareassassin', 'healthcare', 'trump', 'health', 'killer', 'murderer', 'assassin', 'capitalist']","['[your]NEWS: Ex-Ivy League Student Arrested in Connection with UnitedHealthcare CEO Brian Thompson’s Murder \n\nHe is known for his ""Anti-Capitalist"" Beliefs...He is just an Ivy League COMMUNIST! These schools just BREED violent people.\n\n via', 'Donald Trump on the United Healthcare CEO sho*ter Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""', '🚨 #BREAKING: Far leftist identified as the suspect in the assassınation of UnitedHealthcare CEO Brian Thompson\n\nIs ANYONE surprised at all?!\n\nLuigi Mangione, is an anti-capitalist climate change activist and former Ivy League student who idolized UNABOMBER Ted Kaczynski, per New…']"
6,442,6_insurance_healthcare_obamacare_ceos,"['insurance', 'healthcare', 'obamacare', 'ceos', 'health', 'corporate', 'murdering', 'murderer', 'killer', 'care']","['It is ok not to understand things. Going on X and acting like the DA said the insurance company is part of the government is not the way to learn. It just shows everyone you are clueless. Luigi killed someone so the government would change something. Terrorism.', 'Well, thanks to Luigi, our healthcare problems are solved!\n\nHe murdered a random insurance company guy, and that’s going to fix everything!\n\nHealthcare is all better now! \n\nYou’re a psycho.', ""No. You don't. We want the CEOs of murdering health insurance companies locked up. Not Luigi.""]"
7,420,7_murderer_killer_died_killed,"['murderer', 'killer', 'died', 'killed', 'insurance', 'death', 'executive', 'die', 'kill', 'shooter']","[""To retards, yes.\n\nIf he gunned down your family member, he wouldn't be a hero, now would he?\n\nI'm sure his Brian Thompson's wife and kids don't appreciate that u r celebrating his death."", '“brian thompson was a man with a family and people who loved him” \n\n“CEOs are people too”\n\n“just because he denied people life saving health insurance doesn’t mean it’s okay for someone to kill him”', ""Everyone who works for the same company, deserves to be murdered in cold blood too. Right?\nTell his wife and kids that they deserved this.\nAnd you can't name even one person that Brian Thompson himself killed or directed to die.""]"
8,406,8_murderer_murderers_penalty_killer,"['murderer', 'murderers', 'penalty', 'killer', 'killed', 'justice', 'kill', 'deserves', 'death', 'crime']","['Luigi, your hero, is gonna get the death penalty. Fuck you for celebrating a murderer you fucking low life scumbag', 'Dude, I think Luigi should get the death penalty.', 'Death penalty to cold blood murder and terrorist like Luigi!']"
9,399,9_mario_look_italian_looks,"['mario', 'look', 'italian', 'looks', 'ugly', 'face', 'looked', 'attractive', 'much', 'right']","['What we think Luigi supporters look like, and who they really are. 😑', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 ￼ their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…', 'Luigi looks, acts like a crazed 🤪Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…']"
