Topic,Count,Name,Representation,Representative_Docs
0,1311,0_luigimangione_mangioni_hero_nypd,"['luigimangione', 'mangioni', 'hero', 'nypd', 'trump', 'assassin', 'killer', 'murderer', 'shooter', 'said']","['Mayor Eric Adams explains why he was present when Luigi Mangione arrived in New York:\n\n“I’m not going to just allow him to come into our city. I wanted to look him in the eye and stated that you carried out this terrorist act in my city, the city that the people of New York love.…', 'Luigi Mangione is no more of a “hero” then this guy.', ""I don't care what the CEO did, you take them to court and do it the right way. No one has a right to take a life. Luigi Mangione comes from old money; his family was able to help him. The Far Left need to have their heads examined, to celebrate a death like this Shame on them""]"
1,1126,1_luigimangione_trump_healthcare_health,"['luigimangione', 'trump', 'healthcare', 'health', 'sickness', 'killer', 'care', 'murderer', 'death', 'murdering']","['Could UnitedHealthcare CEO murder suspect Luigi Mangione face death penalty?\n\n\n\nAs he should ❓\n\nCold blooded in the back MURDERER‼️', 'Donald Trump on the United Healthcare CEO sho*ter Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""', 'Donald Trump says people who admire suspected UnitedHealthcare CEO shooter Luigi Mangione have a ""sickness.""\n\n""The way it was done, it was so bad. Right in the back. ... A thing like that, you just, you can\'t believe that some people — and maybe it\'s fake news.""']"
2,1052,2_shooter_shooters_murderer_coward,"['shooter', 'shooters', 'murderer', 'coward', 'innocent', 'killer', 'gun', 'killed', 'shot', 'guy']","[""Brooklyn man you are a delusional person don't you see the difference I would have killed that f****** idiot if he got on the same car that I was in when you threatened to kill somebody all bets are off nobody's going to hold your hand.that coward Luigi shot the man in the back."", ""At no point that that guy opposed a threat to Luigi. A Ouija is a murderer who shot a man cold blood in the back like a coward that he is f*** Luigi I don't care if he's for the help"", 'Yes, people, the man Luigi shot was a person']"
3,1019,3_mario_luigimangione_jail_prison,"['mario', 'luigimangione', 'jail', 'prison', 'next', 'better', 'wait', 'said', 'hope', 'anymore']","['Some people just need to get Luigi’d.', 'Now you know why Luigi is in prison', 'This one is for Mario Luigi going to prison.. Lmao!😂🤣🎬🤡🗣📢']"
4,627,4_murderer_killer_died_killed,"['murderer', 'killer', 'died', 'killed', 'death', 'die', 'shooter', 'guy', 'kill', 'victim']","['I don’t understand why people are celebrating Brian Thompson being killed because at the end of the day, he’s dead. His kids don’t have any father. That 26-year-old Luigi Mangione is going to jail for the rest of his life, and the healthcare system is still the same today — the…', '“brian thompson was a man with a family and people who loved him” \n\n“CEOs are people too”\n\n“just because he denied people life saving health insurance doesn’t mean it’s okay for someone to kill him”', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
5,557,5_mario_crazed_demoncrat_looks,"['mario', 'crazed', 'demoncrat', 'looks', 'look', 'super', 'manifesto', 'crazy', 'guy', 'fake']","['Luigi looks, acts like a crazed 🤪Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Super Mario had health insurance and came from a wealthy family! Privileged, liberal and indoctrinated! Anyone in NYC Jury who voted for…', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Super Mario had health insurance and came from a wealthy family! Privileged, liberal, entitled and indoctrinated! Many evil 😈 are making…']"
6,529,6_insurance_healthcare_health_ceos,"['insurance', 'healthcare', 'health', 'ceos', 'care', 'murdering', 'killed', 'killer', 'corporate', 'murderer']","['And he did nothing but destroy his life, his family and Brian’s family. United Healthcare will get a new CEO and keep going. What Luigi did solved NOTHING.', 'Well, thanks to Luigi, our healthcare problems are solved!\n\nHe murdered a random insurance company guy, and that’s going to fix everything!\n\nHealthcare is all better now! \n\nYou’re a psycho.', ""No. You don't. We want the CEOs of murdering health insurance companies locked up. Not Luigi.""]"
7,491,7_healthcare_obamacare_ceos_health,"['healthcare', 'obamacare', 'ceos', 'health', 'death', 'killer', 'murderer', 'care', 'warren', 'shapiro']","['🚨 BREAKING: Trump makes his first public comments on the assassination of the UnitedHealthcare CEO:\n\n""I think it\'s really terrible that some people seem to admire him... That was a terrible thing. It was cold-blooded... and how people can like this guy — that\'s a sickness.""', '🚨 BREAKING: Trump makes his first public comments on the assassination of the UnitedHealthcare CEO:\n""I think it\'s really terrible that some people seem to admire him... That was a terrible thing. It was cold-blooded... and how people can like this guy.', ""Words found on shell casings where UnitedHealthcare CEO was shot dead, senior law enforcement official says  \n\nI don't care what you think of United HealthCare, but what a stunning and sickening act of violence against Brian Thompson, the CEO of UHC. Even…""]"
8,336,8_penny_daniel_murderer_heroes,"['penny', 'daniel', 'murderer', 'heroes', 'killer', 'hero', 'floyd', 'rittenhouse', 'murdering', 'killed']","['Luigi Mangione is a murderer and Daniel Penny is not. It’s that simple.', 'Daniel Penny & Kyle Rittenhouse are heroes.\nLuigi Mangione is a cold blooded murderer.', ""Well, Mangione is a murderer and Daniel Penny isn't.""]"
9,242,9_kyle_killed_murderer_shot,"['kyle', 'killed', 'murderer', 'shot', 'gun', 'defending', 'defended', 'daniel', 'kill', 'violent']","['Luigi shot a man from behind. \n\nKyle Rittenhouse defended his on life.', 'Kyle = Self Defense\nLuigi = Back shooting murderer', 'Luigi is a murder. Kyle Rittenhouse isn’t!']"
